slot,name,seasons,r1_pos,rb_r1_3,wr_r1_3,qb_round,te_round,k_round,def_round,qb2_by_r10,reach_mean,reach_gt12,value_gt12,rookie_share,rookies_r1_5,unmatched_adp,record,win_pct,pf_pg,titles,waivers,faab,trades
1,Kejjeh,"[2023, 2024, 2025]",TE/WR/RB,4,2,2/5/3,1/10/7,15/15/15,14/14/13,0,-5.0,0.02,0.13,0.09,3,0.18,5-9/7-7/10-4,0.524,117.9,1,23,159,0
2,sallymcbride,"[2024, 2025]",WR/WR,1,4,4/3,7/6,14/11,12/13,1,-4.0,0.1,0.17,0.13,0,0.17,7-7/8-6,0.536,119.8,1,0,0,0
3,bogeman,"[2023, 2024, 2025]",WR/WR/RB,3,5,4/10/3,7/14/11,14,12/15/13,0,0.9,0.16,0.13,0.16,0,0.16,7-7/4-10/7-7,0.429,112.2,0,36,285,3
4,MaxSchussler,"[2023, 2024, 2025]",RB/RB/WR,4,5,9/5/10,8/4/4,13,14,0,-2.9,0.13,0.24,0.16,2,0.07,9-5/7-7/6-8,0.524,112.9,0,12,202,0
5,LaisterSmith,[2025],WR,1,1,3,9,13,15,0,2.2,0.13,0.07,0.2,0,0.13,7-7,0.5,111.4,0,2,23,0
6,mikedonutgang200,"[2023, 2024, 2025]",WR/WR/WR,3,5,3/4/7,7/5/6,14/14/15,12/15/14,0,2.1,0.16,0.16,0.07,0,0.09,12-2/5-9/7-7,0.571,121.8,1,0,0,0
7,clyvejohnson,"[2023, 2024, 2025]",RB/RB/RB,5,4,5/6/4,7/9/8,15/12/14,13/15/13,0,-1.2,0.11,0.2,0.02,0,0.16,7-7/8-6/10-4,0.595,117.0,0,0,0,0
8,chaguy2457,[2025],RB,1,1,11,2,13,,0,-7.6,0.07,0.13,0.07,0,0.27,9-5,0.643,115.1,0,16,100,0
9,glavoile,"[2023, 2024, 2025]",WR/WR/WR,1,6,5/7/5,7/3/3,14/14/14,15/15/15,0,-1.3,0.18,0.22,0.13,2,0.07,3-11/6-8/6-8,0.357,113.2,0,3,25,2
10,reijcage,"[2024, 2025]",WR/WR,3,3,4/6,7/8,15/15,14/13,0,-3.2,0.07,0.17,0.1,0,0.13,6-8/10-4,0.571,123.0,0,11,65,0
11,pbrady98,"[2023, 2024, 2025]",RB/RB/RB,6,3,5/8/7,7/6/5,15/15/14,13/14/15,2,2.4,0.2,0.11,0.09,1,0.13,5-9/7-7/5-9,0.405,114.9,0,9,121,0
12,SirChadius,"[2023, 2024, 2025]",RB/WR/RB,4,4,5/10/11,2/8/6,15/15/14,14/14/15,1,5.4,0.2,0.11,0.0,0,0.16,7-7/8-6/5-9,0.476,114.1,0,32,153,1
