season,teams,uid,name,round,pick,slot,pos,player,team,yrs,adp,reach,keeper,is_rookie
2025,12,870541479918137344,pbrady98,1,1,1,RB,Saquon Barkley,PHI,7.0,2.3,1.2999999999999998,False,False
2025,12,872219290496073728,glavoile,1,2,2,WR,Ja'Marr Chase,CIN,4.0,1.5,-0.5,False,False
2025,12,1004922637862244352,coochiemoocher22,1,3,3,RB,Jahmyr Gibbs,DET,2.0,4.0,1.0,False,False
2025,12,1260598086711910400,chaguy2457,1,4,4,RB,Bijan Robinson,ATL,2.0,2.3,-1.7000000000000002,False,False
2025,12,1134983994533257216,sallymcbride,1,5,5,WR,Justin Jefferson,MIN,5.0,5.9,0.9000000000000004,False,False
2025,12,1004918448805220352,clyvejohnson,1,6,6,RB,Derrick Henry,BAL,9.0,5.7,-0.2999999999999998,False,False
2025,12,1135334629814390784,reijcage,1,7,7,WR,CeeDee Lamb,DAL,5.0,6.6,-0.40000000000000036,False,False
2025,12,1004814445714989056,Kejjeh,1,8,8,RB,Ashton Jeanty,LV,0.0,9.2,1.1999999999999993,False,True
2025,12,997359461993861120,MaxSchussler,1,9,9,WR,Malik Nabers,NYG,1.0,11.0,2.0,False,False
2025,12,740683031072927744,mikedonutgang200,1,10,10,WR,Amon-Ra St. Brown,DET,4.0,16.3,6.300000000000001,False,False
2025,12,863518631005401088,LaisterSmith,1,11,11,WR,Puka Nacua,LAR,2.0,12.9,1.9000000000000004,False,False
2025,12,1004927679440805888,bogeman,1,12,12,RB,Christian McCaffrey,SF,8.0,7.0,-5.0,False,False
2025,12,1004927679440805888,bogeman,2,13,12,WR,Nico Collins,HOU,4.0,10.2,-2.8000000000000007,False,False
2025,12,863518631005401088,LaisterSmith,2,14,11,RB,Josh Jacobs,GB,6.0,12.5,-1.5,False,False
2025,12,740683031072927744,mikedonutgang200,2,15,10,RB,Jonathan Taylor,IND,5.0,14.2,-0.8000000000000007,False,False
2025,12,997359461993861120,MaxSchussler,2,16,9,WR,Drake London,ATL,3.0,18.3,2.3000000000000007,False,False
2025,12,1004814445714989056,Kejjeh,2,17,8,WR,Brian Thomas,JAX,1.0,13.9,-3.0999999999999996,False,False
2025,12,1135334629814390784,reijcage,2,18,7,RB,Bucky Irving,TB,1.0,19.7,1.6999999999999993,False,False
2025,12,1004918448805220352,clyvejohnson,2,19,6,RB,De'Von Achane,MIA,2.0,14.9,-4.1,False,False
2025,12,1134983994533257216,sallymcbride,2,20,5,WR,A.J. Brown,PHI,6.0,21.7,1.6999999999999993,False,False
2025,12,1260598086711910400,chaguy2457,2,21,4,TE,Brock Bowers,LV,1.0,33.6,12.600000000000001,False,False
2025,12,1004922637862244352,coochiemoocher22,2,22,3,RB,Kyren Williams,LAR,3.0,16.4,-5.600000000000001,False,False
2025,12,872219290496073728,glavoile,2,23,2,RB,Chase Brown,CIN,2.0,20.8,-2.1999999999999993,False,False
2025,12,870541479918137344,pbrady98,2,24,1,RB,Omarion Hampton,LAC,0.0,31.8,7.800000000000001,False,True
2025,12,870541479918137344,pbrady98,3,25,1,WR,Garrett Wilson,NYJ,3.0,44.0,19.0,False,False
2025,12,872219290496073728,glavoile,3,26,2,TE,Trey McBride,ARI,3.0,41.8,15.799999999999997,False,False
2025,12,1004922637862244352,coochiemoocher22,3,27,3,WR,Mike Evans,TB,11.0,30.5,3.5,False,False
2025,12,1260598086711910400,chaguy2457,3,28,4,WR,Ladd McConkey,LAC,1.0,26.4,-1.6000000000000014,False,False
2025,12,1134983994533257216,sallymcbride,3,29,5,QB,Josh Allen,BUF,7.0,23.1,-5.899999999999999,False,False
2025,12,1004918448805220352,clyvejohnson,3,30,6,WR,Tyreek Hill,MIA,9.0,29.5,-0.5,False,False
2025,12,1135334629814390784,reijcage,3,31,7,RB,James Cook,BUF,3.0,29.2,-1.8000000000000007,False,False
2025,12,1004814445714989056,Kejjeh,3,32,8,QB,Lamar Jackson,BAL,7.0,20.7,-11.3,False,False
2025,12,997359461993861120,MaxSchussler,3,33,9,RB,Kenneth Walker,SEA,3.0,43.4,10.399999999999999,False,False
2025,12,740683031072927744,mikedonutgang200,3,34,10,WR,Tee Higgins,CIN,5.0,25.1,-8.899999999999999,False,False
2025,12,863518631005401088,LaisterSmith,3,35,11,QB,Jayden Daniels,WAS,1.0,27.4,-7.600000000000001,False,False
2025,12,1004927679440805888,bogeman,3,36,12,QB,Jalen Hurts,PHI,5.0,33.7,-2.299999999999997,False,False
2025,12,1004927679440805888,bogeman,4,37,12,WR,Terry McLaurin,WAS,6.0,35.3,-1.7000000000000028,False,False
2025,12,863518631005401088,LaisterSmith,4,38,11,WR,Marvin Harrison,ARI,1.0,34.5,-3.5,False,False
2025,12,740683031072927744,mikedonutgang200,4,39,10,RB,Alvin Kamara,NO,8.0,39.4,0.3999999999999986,False,False
2025,12,997359461993861120,MaxSchussler,4,40,9,TE,George Kittle,SF,8.0,45.8,5.799999999999997,False,False
2025,12,1004814445714989056,Kejjeh,4,41,8,RB,James Conner,ARI,8.0,39.4,-1.6000000000000014,False,False
2025,12,1135334629814390784,reijcage,4,42,7,WR,Jaxon Smith-Njigba,SEA,2.0,39.5,-2.5,False,False
2025,12,1004918448805220352,clyvejohnson,4,43,6,QB,Joe Burrow,CIN,5.0,28.0,-15.0,False,False
2025,12,1134983994533257216,sallymcbride,4,44,5,RB,Chuba Hubbard,CAR,4.0,37.8,-6.200000000000003,False,False
2025,12,1260598086711910400,chaguy2457,4,45,4,RB,Breece Hall,NYJ,3.0,46.3,1.2999999999999972,False,False
2025,12,1004922637862244352,coochiemoocher22,4,46,3,RB,Tony Pollard,TEN,6.0,55.4,9.399999999999999,False,False
2025,12,872219290496073728,glavoile,4,47,2,RB,TreVeyon Henderson,NE,0.0,47.6,0.6000000000000014,False,True
2025,12,870541479918137344,pbrady98,4,48,1,WR,DK Metcalf,PIT,6.0,33.6,-14.399999999999999,False,False
2025,12,870541479918137344,pbrady98,5,49,1,TE,Sam LaPorta,DET,2.0,67.0,18.0,False,False
2025,12,872219290496073728,glavoile,5,50,2,QB,Patrick Mahomes,KC,8.0,57.9,7.899999999999999,False,False
2025,12,1004922637862244352,coochiemoocher22,5,51,3,WR,Courtland Sutton,DEN,7.0,47.5,-3.5,False,False
2025,12,1260598086711910400,chaguy2457,5,52,4,WR,DJ Moore,CHI,7.0,46.6,-5.399999999999999,False,False
