name,QB_shift,TE_shift,RB_shift,WR_shift,sd_reach,seasons,slot,sd_mult
Kejjeh,-1.8,-2.7,-5.6,-1.8,7.7301005521834965,3,1,0.7
sallymcbride,-4.8,5.9,-3.9,2.1,17.986034755643317,2,2,1.06
bogeman,3.4,8.0,0.0,-0.8,14.17746794139945,3,3,0.84
MaxSchussler,-6.2,18.0,2.6,-1.0,19.02725914513335,3,4,1.12
LaisterSmith,-7.6,20.0,-1.5,1.9,15.446972983694065,1,5,0.91
mikedonutgang200,8.6,5.4,-1.0,2.1,18.694804855833258,3,6,1.1
clyvejohnson,-2.2,10.2,0.5,-3.1,13.114858565830696,3,7,0.77
chaguy2457,-20.0,12.6,-1.7,-1.6,16.647511416534197,1,8,0.98
glavoile,11.5,17.4,-4.0,0.8,20.601430170156778,3,9,1.22
reijcage,-10.2,11.0,-1.2,0.1,14.106415551657953,2,10,0.83
pbrady98,1.6,15.6,1.8,7.7,14.064994000715366,3,11,0.83
SirChadius,-11.0,20.0,-2.0,4.7,21.83446067321942,3,12,1.29
