lineup,player,pos,nfl,opp,implied,availability,sleeper_id,gsis_id,g,pts,ppg,snap%,tgt,tgt_sh,car,opp_n,y/tgt,catch%
START,D'Andre Swift,RB,CHI,MIN,26.5,Questionable (Ankle); practice: Limited Participation in Practice,6790,00-0036275,1.0,31.9,31.9,0.57,1.0,0.038461538461538464,18.0,19.0,10.0,1.0
START,Jahmyr Gibbs,RB,DET,@BUF,24.5,no designation on the wk2 report,9221,00-0039139,1.0,31.1,31.1,0.74,5.0,0.1282051282051282,29.0,34.0,6.0,1.0
START,Trey McBride,TE,ARI,SEA,19.0,no game-status designation (Not injury related - resting player); wk2 practice: Did Not Participate In Practice,8130,00-0037744,1.0,20.0,20.0,0.8,13.0,0.35135135135135137,0.0,13.0,7.3076923076923075,0.6923076923076923
START,Nico Collins,WR,HOU,CIN,24.5,Questionable (Hamstring); practice: Limited Participation in Practice,7569,00-0036554,1.0,17.7,17.7,0.72,10.0,0.2702702702702703,1.0,11.0,7.5,0.7
START,Drake Maye,QB,NE,PIT,23.5,no designation on the wk2 report,11564,00-0039851,1.0,12.82,12.82,1.0,0.0,0.0,7.0,7.0,,
START,Rhamondre Stevenson,RB,NE,PIT,23.5,no designation on the wk2 report,7611,00-0036875,1.0,12.0,12.0,0.85,6.0,0.1935483870967742,18.0,24.0,7.333333333333333,0.8333333333333334
START,Garrett Wilson,WR,NYJ,GB,20.5,no designation on the wk2 report,8146,00-0037740,1.0,10.9,10.9,0.75,7.0,0.30434782608695654,0.0,7.0,11.285714285714286,0.8571428571428571
START,Chris Boswell,K,PIT,@NE,18.0,no designation on the wk2 report,1945,00-0031136,1.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,,
START,Jayden Reed,WR,GB,@NYJ,24.0,no designation on the wk2 report,10222,00-0039146,1.0,3.5,3.5,0.57,7.0,0.175,0.0,7.0,2.857142857142857,0.42857142857142855
START,PIT DST,DEF,PIT,@NE,18.0,n/a (team defense),PIT,,,,,,,,,,,
BENCH,Devaughn Vele,WR,NO,@BAL,19.0,no designation on the wk2 report,11834,00-0039424,1.0,16.4,16.4,0.91,9.0,0.17307692307692307,0.0,9.0,7.666666666666667,0.7777777777777778
BENCH,Dontayvion Wicks,WR,PHI,@TEN,23.25,no designation on the wk2 report,9486,00-0038393,1.0,14.3,14.3,0.91,4.0,0.18181818181818182,0.0,4.0,18.25,0.5
BENCH,Caleb Douglas,WR,MIA,@SF,15.5,no designation on the wk2 report,13296,00-0041523,1.0,11.9,11.9,0.91,7.0,0.25925925925925924,0.0,7.0,13.428571428571429,0.7142857142857143
BENCH,Jakobi Meyers,WR,JAX,@DEN,21.5,Questionable (Thumb); practice: Limited Participation in Practice,5947,00-0034960,1.0,11.2,11.2,0.65,2.0,0.09523809523809523,1.0,3.0,20.0,1.0
BENCH,Quentin Johnston,WR,LAC,LV,25.0,no designation on the wk2 report,9754,00-0038544,1.0,2.7,2.7,0.78,6.0,0.2222222222222222,0.0,6.0,2.8333333333333335,0.3333333333333333
